phase,rank,candidate_key,experiment_id,feature_variant,window_length,stride,negative_to_positive_ratio,positive_class_weight_scale,learning_rate,dropout,rounds,max_train_examples_per_client,heldout_test_attached,validation_precision,validation_recall,validation_f1,validation_pr_auc,validation_fpr,threshold_used,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,test_confusion_matrix,wall_clock_training_seconds,config_path,run_output_root
fast,55,top_ap_40_w64_s8_r20to1_pcw0p0_lr0p003_do0p05,P_C1_OPT_FAST_0055,top_ap_40,64,8,20,0.0,0.003,0.05,10,256,False,0.926829268292683,0.296875,0.44970414201183434,0.354382066175103,0.0004532749112336632,0.504741370677948,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,"[[0, 0], [0, 0]]",12.06495787500171,configs/same_setup_optimization/fast/proposed_0055_f977f979a8.yaml,outputs_c1_same_setup_optimization/fast/0055_f977f979a8
fast,56,top_ap_40_w64_s16_r5to1_pcw0p0_lr0p003_do0p05,P_C1_OPT_FAST_0056,top_ap_40,64,16,5,0.0,0.003,0.05,10,256,False,0.9615384615384616,0.1937984496124031,0.3225806451612903,0.23757371831899532,0.0001511030522816561,0.5053876638412476,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,"[[0, 0], [0, 0]]",7.8443472090002615,configs/same_setup_optimization/fast/proposed_0056_a73424b097.yaml,outputs_c1_same_setup_optimization/fast/0056_a73424b097
fast,57,top_ap_40_w64_s16_r8to1_pcw0p0_lr0p003_do0p05,P_C1_OPT_FAST_0057,top_ap_40,64,16,8,0.0,0.003,0.05,10,256,False,0.8205128205128205,0.24806201550387597,0.38095238095238093,0.2891835198879337,0.0010577213659715926,0.504692792892456,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,"[[0, 0], [0, 0]]",10.739336875005392,configs/same_setup_optimization/fast/proposed_0057_3f28ba0b82.yaml,outputs_c1_same_setup_optimization/fast/0057_3f28ba0b82
fast,58,top_ap_40_w64_s16_r10to1_pcw0p0_lr0p003_do0p05,P_C1_OPT_FAST_0058,top_ap_40,64,16,10,0.0,0.003,0.05,10,256,False,0.9696969696969697,0.24806201550387597,0.3950617283950617,0.3022788429064816,0.0001511030522816561,0.5049646496772766,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,"[[0, 0], [0, 0]]",10.936046083006659,configs/same_setup_optimization/fast/proposed_0058_190f5aa462.yaml,outputs_c1_same_setup_optimization/fast/0058_190f5aa462
fast,59,top_ap_40_w64_s16_r15to1_pcw0p0_lr0p003_do0p05,P_C1_OPT_FAST_0059,top_ap_40,64,16,15,0.0,0.003,0.05,10,256,False,0.9230769230769231,0.27906976744186046,0.42857142857142855,0.3260353286024486,0.00045330915684496827,0.5046805739402771,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,"[[0, 0], [0, 0]]",11.052965041999414,configs/same_setup_optimization/fast/proposed_0059_5c9a1285eb.yaml,outputs_c1_same_setup_optimization/fast/0059_5c9a1285eb
fast,60,top_ap_40_w64_s16_r20to1_pcw0p0_lr0p003_do0p05,P_C1_OPT_FAST_0060,top_ap_40,64,16,20,0.0,0.003,0.05,10,256,False,0.975,0.3023255813953488,0.46153846153846156,0.3482660300730591,0.0001511030522816561,0.5050569772720337,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,"[[0, 0], [0, 0]]",11.055655250005657,configs/same_setup_optimization/fast/proposed_0060_48c1a01205.yaml,outputs_c1_same_setup_optimization/fast/0060_48c1a01205
fast,61,no_constants_no_corr_w64_s16_r20to1_pcw0p05_lr0p003_do0p05,P_C1_OPT_FAST_0061,no_constants_no_corr,64,16,20,0.05,0.003,0.05,10,256,False,0.9722222222222222,0.5426356589147286,0.6965174129353234,0.5895020881236293,0.0003022061045633122,0.5019546151161194,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,"[[0, 0], [0, 0]]",10.881862791997264,configs/same_setup_optimization/fast/proposed_0061_bb653d1a22.yaml,outputs_c1_same_setup_optimization/fast/0061_bb653d1a22
fast,62,no_constants_no_corr_w64_s16_r20to1_pcw0p1_lr0p003_do0p05,P_C1_OPT_FAST_0062,no_constants_no_corr,64,16,20,0.1,0.003,0.05,10,256,False,0.9722222222222222,0.5426356589147286,0.6965174129353234,0.5913263703138547,0.0003022061045633122,0.5025665760040283,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,"[[0, 0], [0, 0]]",10.511224417001358,configs/same_setup_optimization/fast/proposed_0062_958b604b0e.yaml,outputs_c1_same_setup_optimization/fast/0062_958b604b0e
fast,63,no_constants_no_corr_w64_s16_r20to1_pcw0p25_lr0p003_do0p05,P_C1_OPT_FAST_0063,no_constants_no_corr,64,16,20,0.25,0.003,0.05,10,256,False,0.9722222222222222,0.5426356589147286,0.6965174129353234,0.5985404132400893,0.0003022061045633122,0.5038638114929199,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,"[[0, 0], [0, 0]]",10.580484040998272,configs/same_setup_optimization/fast/proposed_0063_c0c590751d.yaml,outputs_c1_same_setup_optimization/fast/0063_c0c590751d
fast,64,no_constants_no_corr_w64_s16_r20to1_pcw0p5_lr0p003_do0p05,P_C1_OPT_FAST_0064,no_constants_no_corr,64,16,20,0.5,0.003,0.05,10,256,False,0.9605263157894737,0.5658914728682171,0.7121951219512195,0.6311587035144045,0.00045330915684496827,0.512483537197113,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,"[[0, 0], [0, 0]]",10.570187416000408,configs/same_setup_optimization/fast/proposed_0064_9d64547c5e.yaml,outputs_c1_same_setup_optimization/fast/0064_9d64547c5e
