round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold,control_variate_communication_cost_bytes,server_control_variate_l2_norm
11,0.6973840684707313,0.972491822297172,0.7907378764443636,0.2285129427909851,0.9719099869400695,0.7720870065159064,0.9831614910621682,0.8649330435015967,0.9807446169016113,0.713138389516889,0.029222953256789714,0.2158205211162567,0.972529649783731,0.7840760600189249,0.992584564485768,0.8760950558856108,0.9849469062563722,0.7442298122687762,0.029645393580955682,0.1177150085568428,11808,0.9599551274180406,0.7721795629060839,0.7975718382038923,0.7846703280213679,0.9807446169016113,0.713138389516889,0.023694120393407174,0.9639347007115948,0.7881201520120776,0.8635559865381325,0.8241154055525313,0.9849469062563722,0.7442298122687762,0.025178787953774963,5904,0.02661227467367148
12,0.691952121816707,0.972446374003576,0.7903120107765682,0.22727768123149872,0.9717369707658478,0.7708124133314207,0.9834665365139406,0.8642504825219816,0.9804748061924531,0.7127768463181343,0.029444106571325016,0.21438677608966827,0.9725463931910143,0.7839261593876632,0.9931549826022474,0.8762235474698674,0.9849476210258006,0.7442193664407476,0.02968869862166242,0.11356024444103241,11808,0.9598379229129226,0.771960958296362,0.7961686291257397,0.7838779432964921,0.9804748061924531,0.7127768463181343,0.023681834098155212,0.9639067950327892,0.788064986461154,0.8632707774798928,0.8239553559275895,0.9849476210258006,0.7442193664407476,0.025178787953774963,5904,0.027323568508845
13,0.6909398559973404,0.9723506933854793,0.7894075207695671,0.22539716958999634,0.9716699967629232,0.7702154081291493,0.9838325910560674,0.8640162880411487,0.9803044418784295,0.7125296992543714,0.029554683228592667,0.2122398167848587,0.972401283661225,0.7829586330935252,0.9932690662255433,0.8756631716577405,0.9849443508365667,0.7443603522631844,0.02986191878448937,0.10894699394702911,11808,0.9596872314063425,0.7716283479497511,0.7944603745958148,0.782877927074879,0.9803044418784295,0.7125296992543714,0.02367569095052923,0.9638342402678945,0.7879814457705738,0.8624151503051737,0.8235197995533525,0.9849443508365667,0.7443603522631844,0.025166415085001607,5904,0.025201454714585774
14,0.6878446432067573,0.9721019237784276,0.7869771689497717,0.22218431532382965,0.9716755779298336,0.7702005730659026,0.9839546092367762,0.864054003375211,0.9802689294180196,0.7124350351361338,0.02956082637621865,0.20862549543380737,0.9724068647969862,0.7829683917090059,0.9933261080371912,0.875691441214925,0.9849606961365699,0.7445889409015246,0.02986191878448937,0.10393808037042618,11808,0.9593691048924509,0.771273745012803,0.7901897382710024,0.7806171648987463,0.9802689294180196,0.7124350351361338,0.023595830031391485,0.9637114552811498,0.7878882798225006,0.8608750213906794,0.8227661778335059,0.9849606961365699,0.7445889409015246,0.025135482913068222,5904,0.025460431319399037
15,0.6888486073862641,0.9719643828899135,0.7856783666901338,0.2198452353477478,0.9716755779298336,0.7702005730659026,0.9839546092367762,0.864054003375211,0.9803437387591403,0.7125118820848633,0.02956082637621865,0.20602019131183624,0.9724236082042695,0.7829976622909549,0.993497233472135,0.8757762413576367,0.9850052062810031,0.7449995685763685,0.02986191878448937,0.10017580538988113,11808,0.9591960887182293,0.7709153836973386,0.7881764382893051,0.7794503604935292,0.9803437387591403,0.7125118820848633,0.023583543736139523,0.963549602344077,0.787596737084292,0.8591637670412412,0.8218251261765107,0.9850052062810031,0.7449995685763685,0.025129296478681548,5904,0.02597464161888324
16,0.684704953904514,0.97195601083583,0.785038503850385,0.21679916977882385,0.9717034837643854,0.7702554308904274,0.9842596546885486,0.8642061281337048,0.9805278298655119,0.7126947880277548,0.02956082637621865,0.20259392261505127,0.9724291893400306,0.783007417397168,0.993554275283783,0.875804505229284,0.9850780106023748,0.7454919533160519,0.02986191878448937,0.09540662914514542,11808,0.9595142152321208,0.7747639381728514,0.78591910194619,0.7803016536434672,0.9805278298655119,0.7126947880277548,0.023006087859297347,0.9638956327612669,0.7911052631578948,0.8573954708801551,0.822917522104514,0.9850780106023748,0.7454919533160519,0.024553958080720598,5904,0.02745975546633814
17,0.6775555463066976,0.9720481034307482,0.7852107821963257,0.21463105082511902,0.9717481330996685,0.770472234159385,0.9844426819596119,0.8644131354797235,0.9807649721918492,0.7129673171161911,0.029530110638088743,0.20018574595451355,0.972440351611553,0.7830523713193976,0.9936113170954309,0.8758547868061143,0.9851573646536782,0.7459199449332014,0.029855732350102696,0.09321659058332443,11808,0.9594918905644793,0.775339161893277,0.7845158928680374,0.7799005337214944,0.9807649721918492,0.7129673171161911,0.022889368054403714,0.9637895911818055,0.7909881422924901,0.8561405510239005,0.8222757902810497,0.9851573646536782,0.7459199449332014,0.024535398777560564,5904,0.028991904101149754
18,0.6736056987582669,0.9720780036239034,0.785067206775916,0.21275770664215088,0.9717872012680411,0.7706005919984723,0.9847477274113843,0.864611511369419,0.9809135504630231,0.7129504259863998,0.02951782434283678,0.19810537993907928,0.9724682572903586,0.7831265731751169,0.9938394843420227,0.8759898438874784,0.9852024510600107,0.746087585566548,0.02984954591571602,0.09116838872432709,11808,0.9594863093975688,0.7759579354526774,0.7832957110609481,0.7796095576403437,0.9809135504630231,0.7129504259863998,0.022772648249510086,0.9637616855029999,0.7912401055408971,0.8552849238491814,0.8220169403251008,0.9852024510600107,0.746087585566548,0.024473534433693798,5904,0.029461647080210478
19,0.6655591423506054,0.9719942830830687,0.7842241061555474,0.21056631207466125,0.971859756437876,0.770949720670391,0.9850527728631566,0.8649488401992822,0.9811338140312058,0.7128847609525847,0.029468679161828937,0.19568639993667603,0.9724794195618809,0.7831460674157303,0.9939535679653185,0.8760463537869837,0.9852634487172736,0.7461318931747027,0.02984954591571602,0.08926590532064438,11808,0.9594863093975688,0.7764926728836139,0.7823195656152767,0.7793952286886492,0.9811338140312058,0.7128847609525847,0.022674357887494393,0.9637281986884331,0.791450914086442,0.8544292966744624,0.8217351948871273,0.9852634487172736,0.7461318931747027,0.024417856524213705,5904,0.030699151194742546
20,0.6630906127128156,0.9718842503722575,0.7831805353157109,0.20841079950332642,0.9719267304408006,0.7713139418254764,0.98523580013422,0.8652486069438491,0.9813499686128108,0.7129775422083459,0.02941339083319511,0.19330964982509613,0.9724905818334031,0.7831655581520762,0.9940676515886144,0.8761028580046754,0.9853312427713803,0.746443933555189,0.02984954591571602,0.089031882584095,11808,0.9594360788953754,0.7764713012909873,0.7815874565310231,0.779020979020979,0.9813499686128108,0.7129775422083459,0.022655928444616454,0.9637058741453886,0.7914068280308636,0.8542011294278706,0.821605903492168,0.9853312427713803,0.746443933555189,0.024417856524213705,5904,0.0346047274419944
